,geo,tweet,user_handle,location,cleaned_tweets
229,,"RT @OC3D: Over 400K people have joined Folding@home to combat Covid-19, giving the computing network over 474 PetaFLOPS of computational po…",TallShowSW,"Taft, TX", over k people have joined folding to combat covid giving the computing network over petaflops of computational po
230,,"RT @DHSCgovuk: UPDATE on coronavirus (#COVID19) testing in the UK:

As of 9am on 22 March, a total of 78,340 have been tested: 

72,657 neg…",SWSandy_,Coast UK, update on coronavirus covid testing in the uk as of am on march a total of have been tested neg
231,,"Singer Rihanna donates $5 million in response to COVID-19 pandemic
https://t.co/PE2BNOqz7M",KAMCNews,"Lubbock, Texas",singer rihanna donates million in response to covid pandemic
232,,"The United States is now 4th in the world with 27,000+ cases. https://t.co/J5NW2O411O",KNOE8,"Monroe, LA",the united states is now th in the world with cases
233,,"#BREAKING: Kentucky Sen. Rand Paul says he has tested positive for COVID-19, the disease caused by coronavirus. The… https://t.co/P8uZDGJ1j1",23WIFR,"Rockford, IL",breaking kentucky sen rand paul says he has tested positive for covid the disease caused by coronavirus the
234,,The vice president and his wife have tested negative for COVID-19 https://t.co/zrDfLEMAJX,WDHN,"Dothan, AL",the vice president and his wife have tested negative for covid
235,,RT @dakotanews_now: Sunday's new cases include the state's first confirmed cases in people under age 20. https://t.co/LAtJ6cJAtT,kenny_allen,"Madison, South Dakota", now sunday s new cases include the state s first confirmed cases in people under age
236,,RT @mobarez_nastooh: Our sources have said that the Islamic Republic of IRAN wants to kill many people in Iran and blame the United States…,tehranizohre,Tehran, nastooh our sources have said that the islamic republic of iran wants to kill many people in iran and blame the united states
237,,"RT @BelkissObadia: 🚨DOCTORS SPEAK OUT🚨

This doctor says the government's response to the coronavirus pandemic is nothing short of criminal…",Beachgirlbrigi1,, doctors speak out this doctor says the government s response to the coronavirus pandemic is nothing sho of criminal
238,,Some coronavirus (Covid-19) patients might need a quarantine period longer than the currently mandated two weeks to… https://t.co/94qQwc4YEy,htTweets,India,some coronavirus covid patients might need a quarantine period longer than the currently mandated two weeks to
239,,Join us today at 3 pm ET for #SundayBrunch with @HigherHeights to hear from Black women leaders on the State of Bla… https://t.co/15m6o8bPFd,HigherHeights,,join us today at pm et for sundaybrunch with to hear from black women leaders on the state of bla
240,,"RT @bumaBAgyo: Nakakalungkot. DOH calls for VOLUNTEERS. Other countries are HIRING. 

https://t.co/RR4TJzuQRq",AnonErrol,, nakakalungkot doh calls for volunteers other countries are hiring
241,,"RT @knowage_suite: 10 tips for who among us is dealing with #COVID19 #dataviz.
Please #vizresponsably!
https://t.co/Rpgz3ukR6Z https://t.co…",_twitwork,, suite tips for who among us is dealing with covid dataviz please vizresponsably
242,,"JUST IN: Dallas County reports its 2nd COVID-19 death, along with 36 new cases https://t.co/OKRIJN0Mp1",FOX4,Dallas - Fort Worth,just in dallas county repos its nd covid death along with new cases
243,,"Life sure looks different: Your pictures of living with COVID-19

https://t.co/rE4rEK6wYq https://t.co/jNnMyUa9nu",CBCNL,"St. John's, N.L.",life sure looks different your pictures of living with covid
244,,Rugby legend @RonanOGara10 urges people to stay home during Covid-19 pandemic https://t.co/r8ZQXZQdRG,MirrorSportIE,Ireland,rugby legend urges people to stay home during covid pandemic
245,,"We invite you to take Iowa CCI's COVID-19 Response Survey. Please consider this our sincere organizational ""How are… https://t.co/YnLYgwxsSi",iowacci,"Des Moines, IA",we invite you to take iowa cci s covid response survey please consider this our sincere organizational how are
246,,"“If there’s one person who can’t get treatment, that person is posing a risk to everyone"": the risks of income ineq… https://t.co/ZrrYyA0JKy",NellieMaeEdFdn,New England,if there s one person who can t get treatment that person is posing a risk to everyone the risks of income ineq
247,,"Doctors are warning that the huge numbers of inmates locked inside large communal cells, often with dozens of other… https://t.co/eCUKN1onoe",TheAltWorld,,doctors are warning that the huge numbers of inmates locked inside large communal cells often with dozens of other
248,,"RT @USArmy: The Tomb of the Unknown Soldier has been guarded for the past 83 years, and these dedicated Soldiers will not let that change.…",MELANIE41081805,, the tomb of the unknown soldier has been guarded for the past years and these dedicated soldiers will not let that change
249,,"What role might the U.S. military play as part of the response to the COVID-19 pandemic? 

Read the latest… https://t.co/lao9VGYbmm",CSIS,"Washington, DC",what role might the u s military play as pa of the response to the covid pandemic read the latest
250,,"This is the only place where i felt “I’m in a SAFE ZONE”🧴🧼
#Covid_19 https://t.co/9vZLJRUyYJ",zoeyhdeib,Lebanon ,this is the only place where i felt i m in a safe zone covid
251,,"RT @eddyburback: when jakey and i wore these outfits? 

0 cases of the COVID-19 in the US.

i’m just saying...😳🙈 https://t.co/GX24TS2c4c",MattHunton,"Culpeper, VA", when jakey and i wore these outfits cases of the covid in the us i m just saying
252,,"“It’s not fun when a couple has to lose money or a vendor has to forfeit pay,” said Susan Cordogan, founder of the… https://t.co/HIzWr6V33L",DeseretNews,"Salt Lake City, UT",it s not fun when a couple has to lose money or a vendor has to forfeit pay said susan cordogan founder of the
253,,RT @SiouxsieW: I explain what level 2 of NZ's #Covid_19 Alert System is in my latest @TheSpinoffTV piece. In her briefing @jacindaardern li…,PaNoAlMi,, i explain what level of nz s covid ale system is in my latest piece in her briefing li
254,,"With the importance of #socialdistancing during #COVID-19, more and more people are working from home. Those that c… https://t.co/kXTZEd2X1O",ProRespInc,"Ontario, CA",with the impoance of socialdistancing during covid more and more people are working from home those that c
255,,"""Self-isolation, is the only way to move forward and contain the virus as social distancing in poor infrastructural… https://t.co/W3Pk4f3Twr",orfonline,India,self isolation is the only way to move forward and contain the virus as social distancing in poor infrastructural
256,,"Republican Sen. Rand Paul has tested positive for COVID-19, the illness associated with the new coronavirus. This m… https://t.co/bUPk9Wtbuz",WCPO,"Cincinnati, Ohio",republican sen rand paul has tested positive for covid the illness associated with the new coronavirus this m
257,,RT @CBCIndigenous: The jingle dance is being performed on social media platforms across Canada and the United States to heal and offer pray…,jencheeks,, the jingle dance is being performed on social media platforms across canada and the united states to heal and offer pray
258,,It is not just medical workers putting in overtime during the #coronavirus pandemic. Caregivers at assisted living… https://t.co/xdTU2MnU4f,FOX47News,"Lansing, Michigan",it is not just medical workers putting in oveime during the coronavirus pandemic caregivers at assisted living
259,,Tests for coronavirus not only in Pitkin County but countrywide are in short supply so officials are reserving them… https://t.co/d7GQofh1zt,TheAspenTimes,"Aspen, CO",tests for coronavirus not only in pitkin county but countrywide are in sho supply so officials are reserving them
260,,"Quinn Industrial Holdings says it has a number of measures in place to protect its staff

https://t.co/zPs61aVJs6 https://t.co/kwZrwISUK0",NewsonNS,"Cavan and Monaghan, Ireland",quinn industrial holdings says it has a number of measures in place to protect its staff
261,,"RT @mehdirhasan: Congratulations! The U.S. is now third globally in terms of the total number of COVID-19 cases. 

Reminder:

“It will go a…",RyanLaborOV,"Norman, OK", congratulations the u s is now third globally in terms of the total number of covid cases reminder it will go a
262,,RT @business: JUST IN: Republican Senator Rand Paul has tested positive for Covid-19 and is in quarantine https://t.co/wLJB4DVa4c,pdog11234,, just in republican senator rand paul has tested positive for covid and is in quarantine
263,,"IDENTIFY &amp; REMOVE TOXINS: REJUVENATE YOUR #BODY
https://t.co/2N2mQx2FkK

#health #love #life #live #money #travel… https://t.co/TunCDpnXO6",BeautySkinYourN,,identify remove toxins rejuvenate your body health love life live money travel
264,,RT @olusogaowoeye: Listen to this: Half of Uruguay’s coronavirus cases traced to a single guest at a society party. Covid-19 struck 44 gues…,RaffaelAnyanwu,Irepo estate, listen to this half of uruguay s coronavirus cases traced to a single guest at a society pay covid struck gues
265,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",elsalepley,"Hampton, VA", the world will never be the same after we recover from covid every time the government said they couldn t find money for
266,,"RT @TheCatSaysMao: PGH Cancer Institute will be closed by the government to make way for the implementation of UP-PGH as COVID-19 hospital,…",ash_olannn,, pgh cancer institute will be closed by the government to make way for the implementation of up pgh as covid hospital
267,,"HOW TO HELP

Feed My Starving Children is still accepting donations even though the location is closed to the publi… https://t.co/k6IibkZJAM",ChicagoSteel,"Geneva, IL",how to help feed my starving children is still accepting donations even though the location is closed to the publi
268,,"it doesn't take too much to protect your fellow New Yorkers and STOP the spread of COVID-19:

Stay home.

The socia… https://t.co/bqg4DOWViL",nycgov,New York City,it doesn t take too much to protect your fellow new yorkers and stop the spread of covid stay home the socia
269,,"Here's everything you need to know about Zoom.

@htTweets

https://t.co/BqG0JL5TIB",HTTech,"New Delhi, India",here s everything you need to know about zoom
270,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",riggseyyy,, the world will never be the same after we recover from covid every time the government said they couldn t find money for
271,,"US media: Military to run country if White House, Congress are incapacitated by COVID-19 

@WhiteHouse #COVID19 https://t.co/p2E7BrI1dq",SputnikInt,,us media military to run country if white house congress are incapacitated by covid covid
272,,"Facebook bans ads on COVID-19 test kits, hand sanitizers

https://t.co/ICJadBaXwx",NewsroomPostCom,INDIA,facebook bans ads on covid test kits hand sanitizers
273,,.@SBAgov approved @GovLauraKelly's request to make loans of up to $2 million available to small businesses disrupte… https://t.co/XEsdqNjDHJ,Greater_Wichita,"Wichita, KS",approved s request to make loans of up to million available to small businesses disrupte
274,,South Africa will form part of the World Health Organisation's multi-country COVID-19 vaccine trial which aims to f… https://t.co/3fptTMB23n,CapeTownEtc,"Cape Town, South Africa",south africa will form pa of the world health organisation s multi country covid vaccine trial which aims to f
275,,RT @AskAnshul: A man who is suspected of Covid-19 virus after returning from London said that many students took paracetamol before landing…,NameisShiva,"Hyderabad, Telangana", a man who is suspected of covid virus after returning from london said that many students took paracetamol before landing
276,,@govkristinoem Extremely embarrassing that you haven’t made the order go close restaurants and bars across the stat… https://t.co/nFzMxJqSCo,milesbrudi,"Scottsdale, AZ",extremely embarrassing that you haven t made the order go close restaurants and bars across the stat
277,,"RT @addicted2newz: The Police in London are trying to brighten the mood.

The are going up and down the Thames in a police boat playing ""Al…",SharkdiverX,C.C.A.A., the police in london are trying to brighten the mood the are going up and down the thames in a police boat playing al
278,,"RT @HarjitSajjan: We need every Canadian to #StayAtHome. By #SocialDistancing, we protect those Canadians who are working hard in the fight…",liberrycate,"Halifax, NS", we need every canadian to stayathome by socialdistancing we protect those canadians who are working hard in the fight
279,,RT @AskAnshul: A man who is suspected of Covid-19 virus after returning from London said that many students took paracetamol before landing…,chinttapalli,"hyderabad,telangana", a man who is suspected of covid virus after returning from london said that many students took paracetamol before landing
280,,Working on writing as a new goal. Setting up resolution not in the new year but during the Covid-19 crisis.,AvvaRaha,,working on writing as a new goal setting up resolution not in the new year but during the covid crisis
281,,RT @itsJeffTiedrich: it bears repeating: every Republican who has tested positive for COVID-19 and/or is now self-quarantining voted to acq…,mgman_2,, it bears repeating every republican who has tested positive for covid and or is now self quarantining voted to acq
282,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",NJ_So3,, the world will never be the same after we recover from covid every time the government said they couldn t find money for
283,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",frznnie,She/her, the world will never be the same after we recover from covid every time the government said they couldn t find money for
284,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,YemmeYem,, cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
285,,RT @mikaxlabautista: my mom is a charge nurse in ICU and she is literally preparing to get a patient with covid 19. she is ready to quarant…,iojihaek,In bed w/ my monkeys , my mom is a charge nurse in icu and she is literally preparing to get a patient with covid she is ready to quarant
286,,RT @RandPaul: Senator Rand Paul has tested positive for COVID-19. He is feeling fine and is in quarantine. He is asymptomatic and was teste…,Free_from_debt,, senator rand paul has tested positive for covid he is feeling fine and is in quarantine he is asymptomatic and was teste
287,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",289bpm,, the world will never be the same after we recover from covid every time the government said they couldn t find money for
288,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",zeepression,viva las vegas , the world will never be the same after we recover from covid every time the government said they couldn t find money for
289,,RT @itsJeffTiedrich: it bears repeating: every Republican who has tested positive for COVID-19 and/or is now self-quarantining voted to acq…,jimboeheim2,"North Syracuse, NY.  ", it bears repeating every republican who has tested positive for covid and or is now self quarantining voted to acq
290,,"RT @JillFilipovic: Home, bored and lonely? Or just home? Please please please consider fostering an animal in need. Shelters need your help…",syrmavir,West of the Rockies, home bored and lonely or just home please please please consider fostering an animal in need shelters need your help
291,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",JessxxShae,"Texas, USA", the world will never be the same after we recover from covid every time the government said they couldn t find money for
292,,"RT @ASRomaEN: At least 18 doctors have died of Covid-19 in Italy. Around the world, more than 40 medical staff have lost their lives whilst…",Esmeralda_queen,"Mombasa, Kenya", at least doctors have died of covid in italy around the world more than medical staff have lost their lives whilst
293,,"🖕😷👌☣️ #KARMA IS A #BITCH!

RIGHT, RAND?

#RANDPAUL #RAND #PAUL #SENATORRANDPAUL #SENATORPAUL @RANDPAUL

🖕😷👉☣️… https://t.co/tA5pxJhMXF",TerryHunter,LOVE AND BE LOVED IN RETURN!😍,karma is a bitch right rand randpaul rand paul senatorrandpaul senatorpaul
294,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",sunsetsforlife,Mexico, the world will never be the same after we recover from covid every time the government said they couldn t find money for
295,,"RT @mitchellvii: I do not understand how our hospitals can handle 670,000 flu cases every year, but a few thousand COVID-19 cases overwhelm…",RealWoodyVanErk,"Perth, Ontario", i do not understand how our hospitals can handle flu cases every year but a few thousand covid cases overwhelm
296,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,kimmywhy,, cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
297,,"New York Cases Of COVID-19 Rise To 15,000 | MSNBC https://t.co/lXiV20t4BP via @YouTube",Gummbyman32,Huntington Beach CA,new york cases of covid rise to msnbc via
298,,RT @SLealRx: Independent #pharmacies should be on frontlines for COVID-19 screening access https://t.co/tdPDLK1BTa #pharmacists #pharmacy #…,SinfoniaRx,"Tucson, AZ", independent pharmacies should be on frontlines for covid screening access pharmacists pharmacy
299,,"RT @FIGHT_2_KAG: “World Health Organization Boot-Licks China, With DEADLY Results”

Former Dictator from Ethiopia now Director of @WHO is i…",ananta_deka,, kag world health organization boot licks china with deadly results former dictator from ethiopia now director of is i
300,,RT @NatashaBertrand: .@DavidLat is now on a ventilator and in critical condition https://t.co/4z1nidF1pm https://t.co/50sKuoCqWn,stilllwithher,, is now on a ventilator and in critical condition
301,,"RT @NateSilver538: Next week is not going to be easy on the COVID-19 front. If there are green shoots here and there, and I hope there are,…",3NT,, next week is not going to be easy on the covid front if there are green shoots here and there and i hope there are
302,,"Lots of fear mongering and preying on people worried over the Covid-19 virus. 
https://t.co/O7RbshNDMj",TyrannosaurJen,"Escondido, CA",lots of fear mongering and preying on people worried over the covid virus
303,,The Illinois Department of Public Health (IDPH) today announced 168 new cases of coronavirus disease (COVID-19) in… https://t.co/7Tg4fWthyT,EdGlenTodayNews,,the illinois depament of public health idph today announced new cases of coronavirus disease covid in
304,,"RT @CarolTempel: .@SenateGOP Please protect voters’ rights in the COVID-19 emergency stimulus package -- with election funding, expanded vo…",LancelotLinkSpy,United States, please protect voters rights in the covid emergency stimulus package with election funding expanded vo
305,,"RT @charliekirk11: Did you know:

According to a new study, if China had acted 3 weeks earlier than they did, instead of lying, the number…",Bembezi,, did you know according to a new study if china had acted weeks earlier than they did instead of lying the number
306,,"RT @greyscull47: Best or worst COVID-19 jokes
Remember it’s to lift our spirits in a very difficult time. 
Here’s mine not sure of its cate…",Tumshyheedfeed,, best or worst covid jokes remember it s to lift our spirits in a very difficult time here s mine not sure of its cate
307,,RT @AdamFriedland: My cousin works at the pentagon and he told me there’s a viral pandemic going around called the COVID-19,VictoriaSeest,, my cousin works at the pentagon and he told me there s a viral pandemic going around called the covid
308,,"RT @DHSCgovuk: UPDATE on coronavirus (#COVID19) testing in the UK:

As of 9am on 22 March, a total of 78,340 have been tested: 

72,657 neg…",Craigdono,"North-West, UK", update on coronavirus covid testing in the uk as of am on march a total of have been tested neg
309,,@ArvindKejriwal DJB AND  BSES MENTINANCE SERVICES Department  LIKE O&amp;M R IN EMERGENCY SERVICES REST R LIKE BUSINESS… https://t.co/c7kmect16O,JAINANKUR14,,djb and bses mentinance services depament like o m r in emergency services rest r like business
310,,"RT @VoteJivan: Rent freeze.

Mortgage freeze.

Direct cash assistance.

Decarcerate.

We need this both to ensure housing stability and red…",lillybobilly,"Massachusetts, USA", rent freeze mogage freeze direct cash assistance decarcerate we need this both to ensure housing stability and red
311,,RT @Dist32StateRep: Governor Abbott has temporarily suspended certain provisions of the Texas Alcoholic Beverage Code to help businesses wh…,MarcALevin,"Austin, TX", governor abbott has temporarily suspended ceain provisions of the texas alcoholic beverage code to help businesses wh
312,,"RT @PatrickDDodson: @RandPaul Interesting how politicos, wealthy and other “elites” seem to have no problems getting tested for COVID 19 ho…",clmediaarts,American Living in Europe, interesting how politicos wealthy and other elites seem to have no problems getting tested for covid ho
313,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,katyhobgood,, cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
314,,RT @AnnaLysaGayle: JUST IN: Second COVID-19 related death reported in D.C. https://t.co/U22TU0gSjj,SweetUKGirl,FLA/KY GIRL now in DC . , just in second covid related death repoed in d c
315,,RT @CDCgov: Everyone has a role to play to reduce &amp; slow transmission of #COVID19. Physical or social distancing is one way to prevent the…,ochola_gregory,, everyone has a role to play to reduce slow transmission of covid physical or social distancing is one way to prevent the
316,,RT @francesleach_: Cuban doctors arriving into Italy to support the fight against Covid-19. Throughout most pandemics of the 21st century C…,huda3aaa,"Arizona, USA", cuban doctors arriving into italy to suppo the fight against covid throughout most pandemics of the st century c
317,,"RT @HooverAthletics: Proud of these two!  Hoover High School seniors talk COVID-19 impacts on school, extracurricular life https://t.co/I51…",HooverAthletics,"Hoover, AL", proud of these two hoover high school seniors talk covid impacts on school extracurricular life
318,,RT @SaddickAdams: Students of Obuasi Sec Tech developed this touch free bucket to help fight Covid-19. Little steps like this 🙏🙏 https://t.…,kyifkayy,, students of obuasi sec tech developed this touch free bucket to help fight covid little steps like this
319,,"RT @nhsfife: WATCH: We're reconfiguring our services to enable us to best respond to COVID-19

Here our Chief Executive, Medical and Nurse…",MarkEvansDCS,"Edinburgh, Scotland", watch we re reconfiguring our services to enable us to best respond to covid here our chief executive medical and nurse
320,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",BiStarBucky,Fascists go fuck yourselves, the world will never be the same after we recover from covid every time the government said they couldn t find money for
321,,"COVID-19 quarantine has reduced CO2 emissions and increased parental time with our kids, but it's bad for GDP. Ther… https://t.co/Am5MbSSeRg",JoeyGDNBoss,🌎,covid quarantine has reduced co emissions and increased parental time with our kids but it s bad for gdp ther
322,,"RT @AugieNash: I'm at Sam's Club

Older couple in 70's checking out

Cashier asks if they found everything they needed

Lady said no - need…",ohangeliqueee,"houston, tx", i m at sam s club older couple in s checking out cashier asks if they found everything they needed lady said no need
323,,Health authorities work to trace contacts of two who tested positive for Covid-19 https://t.co/yeeD7tmK9I,rnz_news,New Zealand,health authorities work to trace contacts of two who tested positive for covid
324,,"RT @DHSCgovuk: UPDATE on coronavirus (#COVID19) testing in the UK:

As of 9am on 22 March, a total of 78,340 have been tested: 

72,657 neg…",corrugation,London, update on coronavirus covid testing in the uk as of am on march a total of have been tested neg
325,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",ninaninanee,, the world will never be the same after we recover from covid every time the government said they couldn t find money for
326,,"RT @jaketapper: TAMPA, Fl. (WFLA) — Five University of Tampa students are recovering after testing positive for COVID-19 during spring brea…",conclusionsid,, tampa fl wfla five university of tampa students are recovering after testing positive for covid during spring brea
327,,"RT @WilDonnelly: @RandPaul Senator Rand Paul has no symptoms and no know contacts with anyone with COVID-19, but unlike our frontline nurse…",DonnaMu92783278,, senator rand paul has no symptoms and no know contacts with anyone with covid but unlike our frontline nurse
328,,"RT @jaketapper: TAMPA, Fl. (WFLA) — Five University of Tampa students are recovering after testing positive for COVID-19 during spring brea…",Maquissar,Germany, tampa fl wfla five university of tampa students are recovering after testing positive for covid during spring brea
329,,"@IAmDawnM Ha, not surprised. Isn't he the one who delayed the vote on the covid 19 bill? Even so, thoughts and prayers.",Klaw54566601,Jamaican born Canadian.,ha not surprised isn t he the one who delayed the vote on the covid bill even so thoughts and prayers
330,,"RT @Franeb: Where is @iykimo I told you he couldn't pronounce Corona Virus..

Now they gave him COVID 19 and your Man said it's COVIK ONE N…",uzo_emeka,Lagos , where is i told you he couldn t pronounce corona virus now they gave him covid and your man said it s covik one n
331,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",ItsNoahers,"California, USA", the world will never be the same after we recover from covid every time the government said they couldn t find money for
332,,"RT @BorisEP: . @NYCMayor is a total disgrace. 

De Blasio absolutely failed the people of New York and instead of taking responsibility is…",ABATT,"Greenville, SC", is a total disgrace de blasio absolutely failed the people of new york and instead of taking responsibility is
333,,RT @bobehayes: My 96-year-old mom tested positive for #Covid_19. She's got a cough and slight fever. Her nursing home is under quarantine;…,abramovich11,"Paris, London, Moscow", my year old mom tested positive for covid she s got a cough and slight fever her nursing home is under quarantine
334,,RT @RaleighWake: SMALL BUSINESS LOANS: has your business been impacted by #COVID19? Find info on @SBAgov loans here - https://t.co/UBsfIYwo…,RaleighDLA,"Raleigh, NC", small business loans has your business been impacted by covid find info on loans here
335,,"RT @ggukiepjms: buying                          covid 19  
concert                        happens
tickets",joonsgalaxie,"California, USA", buying covid conce happens tickets
336,,"RT @dustin_SFA: My wife and I pastor a church in Sheridan, Arkansas. We have struggled to have children, but today my wife is 13 weeks. We…",anapanduh,Escaping the simulation, sfa my wife and i pastor a church in sheridan arkansas we have struggled to have children but today my wife is weeks we
337,,RT @briantylercohen: Rand Paul has tested positive for COVID-19. His latest move was delaying an effort to quickly pass coronavirus legisla…,timothywhite77,New Haven | Yale ‘20 | He/Him, rand paul has tested positive for covid his latest move was delaying an effo to quickly pass coronavirus legisla
338,,"RT @SiouxsieW: Heard of #FlattenTheCurve &amp; #StopTheSpread? Well, this is the graphic everyone needs to understand. We all have to change ou…",nils_gu,"Hamburg, Germany", heard of flattenthecurve stopthespread well this is the graphic everyone needs to understand we all have to change ou
339,,RT @RandPaul: Senator Rand Paul has tested positive for COVID-19. He is feeling fine and is in quarantine. He is asymptomatic and was teste…,paphotog,USA, senator rand paul has tested positive for covid he is feeling fine and is in quarantine he is asymptomatic and was teste
340,,"RT @ActuaryByDay: Updated odds of catching COVID-19:

Mar   1-in-350
Apr    1-in-30
May   1-in-5
Jun    1-in-4
Jul      1-in-15
Aug    1-in…",1AlanShort,England, updated odds of catching covid mar in apr in may in jun in jul in aug in
341,,"RT @dustin_SFA: My wife and I pastor a church in Sheridan, Arkansas. We have struggled to have children, but today my wife is 13 weeks. We…",Royal8Ty88,, sfa my wife and i pastor a church in sheridan arkansas we have struggled to have children but today my wife is weeks we
342,,RT @mikaxlabautista: my mom is a charge nurse in ICU and she is literally preparing to get a patient with covid 19. she is ready to quarant…,crystalahmn,, my mom is a charge nurse in icu and she is literally preparing to get a patient with covid she is ready to quarant
343,,"RT @joannachiu: But as Kyla pointed out to me, she doesn't know how she got sick. It could've been in Ohio, or at home in Vancouver, since…",DodgerDoomzDay,"Monterey ParK, CA", but as kyla pointed out to me she doesn t know how she got sick it could ve been in ohio or at home in vancouver since
344,,"RT @NanHayworth: Keys:
1) exponential expansion of testing--numbers, speed--for both viral shedding AND immunity. Reliably proving exposure…",1JusticeUndrGod,, keys exponential expansion of testing numbers speed for both viral shedding and immunity reliably proving exposure
345,,"RT @GavinWilliamson: You should only send your child to school on Monday if you have to, because your work is critical to our COVID-19 resp…",watontheheath,, you should only send your child to school on monday if you have to because your work is critical to our covid resp
346,,RT @TIME: German Chancellor Angela Merkel quarantined after doctor tests positive for COVID-19 https://t.co/VF5xMScvv5,avkuat,, german chancellor angela merkel quarantined after doctor tests positive for covid
347,,RT @DrJenGunter: That politicians and celebrities are getting tested for COVID-19 with apparent ease should be making everyone furious. Jus…,shaghayegh755,"Toronto, Ontario", that politicians and celebrities are getting tested for covid with apparent ease should be making everyone furious jus
348,,RT @PKings10: @chothep @slmiheso @samuelngugikar1 @Luther_Gen @wmnjoya @MaMo_ @MwangP01 @kinjeketile @Abdysoh2 @PharaohMenya @Arcndege Same…,chothep,"Nairobi, Kenya", gen same
349,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",steezmendoza,"Dinuba(D-Town), CA", the world will never be the same after we recover from covid every time the government said they couldn t find money for
350,,RT @briantylercohen: Rand Paul has tested positive for COVID-19. His latest move was delaying an effort to quickly pass coronavirus legisla…,zizabella,Planet Earth, rand paul has tested positive for covid his latest move was delaying an effo to quickly pass coronavirus legisla
351,,"RT @WISH_TV: ""Late last night, March 21st, the health department was notified of Hancock County's first COVID-19 positive resident,"" stated…",1961Et,"Indianapolis, IN", tv late last night march st the health depament was notified of hancock county s first covid positive resident stated
352,,"RT @AdiBacelar: After this is all over, please remember in future job interviews to ask them what their company did to protect their employ…",ben_a_r,behind the 3pt line, after this is all over please remember in future job interviews to ask them what their company did to protect their employ
353,,"RT @wsly_dzr: Me waking up every morning with no covid-19 symptoms
 https://t.co/MOss5RdXof",_caitlynleigh,conway, dzr me waking up every morning with no covid symptoms
354,,Isolation &amp; loneliness may become an even greater threat to #olderAdults who could be forced to self-isolate due to… https://t.co/TVPaJeYaaU,MASeniors,"555 Pleasant St. Attleboro, MA",isolation loneliness may become an even greater threat to olderadults who could be forced to self isolate due to
355,,RT @TIME: German Chancellor Angela Merkel quarantined after doctor tests positive for COVID-19 https://t.co/VF5xMScvv5,Erth53,, german chancellor angela merkel quarantined after doctor tests positive for covid
356,,"RT @ASRomaEN: At least 18 doctors have died of Covid-19 in Italy. Around the world, more than 40 medical staff have lost their lives whilst…",NIGMA_NG,#Earth, at least doctors have died of covid in italy around the world more than medical staff have lost their lives whilst
357,,"RT @SloopJontyB: During my time in the Submarine Service, I - along with many others - endured many weeks and months cooped up in a steel t…",KeeperofSeeds,"Georgia, USA", during my time in the submarine service i along with many others endured many weeks and months cooped up in a steel t
358,,"RT @Elanco: Currently, there is no evidence that pets become sick or spread COVID-19 to people.  Have more questions? Check out @AVMAvets '…",AmandaSchepis,, currently there is no evidence that pets become sick or spread covid to people have more questions check out
359,,"Once again, despite rapid spread of #COVID &amp; rising death toll, Italians inspire us with a zest for life &amp; contagio… https://t.co/WPFGAPqQix",DavidHarrisAJC,,once again despite rapid spread of covid rising death toll italians inspire us with a zest for life contagio
360,,"RT @nowthisnews: Katie Porter's sister, a doctor, is breaking down how staying in can save lives during the COVID-19 crisis https://t.co/9q…",xokaylaaa,"Hilton Head Island, SC, USA", katie poer s sister a doctor is breaking down how staying in can save lives during the covid crisis
361,,RT @BeaconsWarden: Brecon Beacons National Park Authority supports Snowdonia National Park Authority’s call on Government to institute clea…,free_wales,, brecon beacons national park authority suppos snowdonia national park authority s call on government to institute clea
362,,"Trump’s incompetence is killing people. He has been receiving briefings about COVID-19 since January, but on March… https://t.co/BylCfXjPg3",JustRealTruth,,trump s incompetence is killing people he has been receiving briefings about covid since january but on march
