datetime,text
"Mar 22, 2020 09:56 ","China reports first new local virus case in four days##China reports first new local virus case in four daysWhile China has drastically reduced the number of reported domestically transmitted cases - the one reported on Sunday was the first in four days - it is seeing a steady rise in imported cases, mostly from Chinese people returning from abroad.Meanwhile, on Saturday, China reported 41 new coronavirus cases for the previous day, all of them imported. Among the new cases from abroad, a record 14 were in the financial hub of Shanghai and 13 were in the capital Beijing, a decline from 21 the previous day. The latest figures bring China’s total reported coronavirus cases to 81,054, with 3,261 deaths, including six on Saturday."
"Mar 22, 2020 09:48 ","Global Update: Philippines reports 73 new coronavirus cases, six more deaths##Global Update: Philippines reports 73 new coronavirus cases, six more deathsThe Philippines reported 73 new coronavirus cases, bringing the total to 380, the health ministry said on Sunday. It also announced six more deaths related to coronavirus, bringing total fatalities to 25."
"Mar 22, 2020 09:40 ","Ahmedabad, Surat, Rajkot, Vadodara under lockdown till March 25##Ahmedabad, Surat, Rajkot, Vadodara under lockdown till March 25"
"Mar 22, 2020 09:35 ",Janta Curfew: No passengers at Majestic bus station in Bengaluru as people observe self-imposed Janta Curfew to fight Coronavirus##Janta Curfew: No passengers at Majestic bus station in Bengaluru as people observe self-imposed Janta Curfew to fight Coronavirus
"Mar 22, 2020 09:25 ",US Vice President Mike Pence and his wife Karen Pence test negative for coronavirus##US Vice President Mike Pence and his wife Karen Pence test negative for coronavirus
"Mar 22, 2020 09:22 ",NEWS ALERT: Donald Trump declares New York a major disaster area after 8.3k cases##NEWS ALERT: Donald Trump declares New York a major disaster area after 8.3k cases
"Mar 22, 2020 09:18 ", 
"Mar 22, 2020 09:12 ",No COVID-19 positive case in Assam so far: Himanta Biswa Sarma##No COVID-19 positive case in Assam so far: Himanta Biswa Sarma
"Mar 22, 2020 09:08 ","We must begin by testing all cases: Sonia Gandhi##We must begin by testing all cases: Sonia Gandhi""Testing is the key to prevention. In a nation of 130 crore, only 15,701 samples are reported to have been tested so far. Despite ample time, early warnings and lessons from other nations, we appear to have underutilised our public and private sector capacities. This must change. We must begin by testing all cases under surveillance and expand to all other symptomatic cases and those coming into contact with the ones testing positive,"" Sonia Gandhi said in a statement."
"Mar 22, 2020 09:02 ","Stay indoors and stay healthy, says PM Modi##Stay indoors and stay healthy, says PM ModiShortly before the beginning of Janta Curfew, PM Narendra Modi tweeted, ""Let us all be a part of this curfew, which will add tremendous strength to the fight against COVID-19 menace. The steps we take now will help in the times to come. Stay indoors and stay healthy."""
"Mar 22, 2020 08:53 ","Janata Curfew: Over 3,700 trains cancelled, GoAir also cancels flights##Janata Curfew: Over 3,700 trains cancelled, GoAir also cancels flightsMore than 3700 trains and numerous flights will be cancelled on March 22 to keep up with Prime Minister Narendra Modi's call of the country observing a 'Janata Curfew', or people's curfew. Indian Railways will cancel all passenger trains whose time of origin falls between 0000 hours and 10 pm on March 22. This will lead to cancellation of approximately 2400 trains. In addition, all those trains, which will be empty can also be short terminated on March 22. All long-distance mail, express and inter-city trains, whose time of origin falls between 4 am and 10 pm of March 22, will also not run. This will mean cancellation of nearly 1300 such trains."
"Mar 22, 2020 08:40 ", 
"Mar 22, 2020 08:28 ","Govt allows private labs to undertake Covid-19 tests at Rs 4,500##Govt allows private labs to undertake Covid-19 tests at Rs 4,500In a move that allows NABL-accredited private laboratories to start testing COVID-19 samples, the government issued guidelines, capping the cost of sample testing by private labs at Rs 4,500. The guidelines issued by the Indian Council of Medical Research, affiliated with the Ministry of health, lays down the rules for sample collection, testing, reporting and sample storage and destruction. The National task Force has recommended the maximum cost for COVID-19 samples testing at private labs at Rs 4,500. ""This may include Rs 1500 for a screening test for suspect cases and an additional Rs 3,000 as confirmation test charges,"" the notification said."
"Mar 22, 2020 08:19 ","Coronavirus impact: Automobile companies begin plant shutdowns in Maharashtra##Coronavirus impact: Automobile companies begin plant shutdowns in MaharashtraHours after Maharashtra government ordered a shutdown of all workplaces till 31st March in order to prevent the spread of coronavirus, India's leading automobile manufacturers have started shutting down operations. On Saturday, sources at Bajaj Auto said that the company has decided to shut down it's facilities in Akurdi and Chakan till 30th of March. However, the company's manufacturing units at Waluj in Aurangabad and Pantnagar in Uttarakhand will continue as planned. Tata Motors has also started rapidly scaling down operations at it's Pune plant. Luxury car maker Mercedes Benz has also decided to suspend production at it's manufacturing facility in Chakan from 21st March to 31st March.  Commercial vehicle makers have also followed suit. Eicher Motors which makes engineering components in Thane has shut down operations."
"Mar 22, 2020 08:07 ","Welcome readers! Coronavirus cases in India rise to 315##Welcome readers! Coronavirus cases in India rise to 315Welcome readers to CNBCTV18.com's live coverage of the coronavirus pandemic, particularly across India. For starters, the number of novel coronavirus cases in India rose to 315 overnight. Several states have gone into battle mode to contain the pandemic, announcing partial shutdowns and imposing restrictions on people's movement and gatherings among a slew of precautionary measures. The country is also set to observe a janata curfew from 7 am to 9 pm on Sunday after Prime Minister Narendra Modi on Thursday pitched for social distancing, asking people, barring those in essential services, not to get out of their homes."
